Unnamed: 0,Year,Sem,Course Code,Section,AB,BB,DD,FR,Total,AA,BC,CC,CD,II,AU,FF,AP,PP,NP,W,S,pp,DX,Unnamed: 22,section_tag_div
5397,2021,2,CE 334,Total Grades Given for section S1 are,10.0,9.0,4.0,,65,24.0,12.0,2.0,4.0,,,,,,,,,,,,S1
5398,2021,2,CE 334,Total Grades Given for section S2 are,9.0,10.0,3.0,,62,25.0,8.0,3.0,4.0,,,,,,,,,,,,S2
5399,2021,2,CE 336,Total Grades Given for section S1 are,18.0,15.0,2.0,,63,23.0,2.0,2.0,1.0,,,,,,,,,,,,S1
5400,2021,2,CE 336,Total Grades Given for section S2 are,26.0,13.0,,,59,13.0,4.0,1.0,2.0,,,,,,,,,,,,S2
5401,2021,2,CE 338,Total Grades Given for section S1 are,23.0,19.0,,1.0,61,14.0,2.0,1.0,1.0,,,,,,,,,,,,S1
5402,2021,2,CE 338,Total Grades Given for section S2 are,15.0,24.0,,,59,14.0,5.0,1.0,,,,,,,,,,,,,S2
5403,2021,2,CE 433,Total Grades Given for are,3.0,6.0,3.0,2.0,36,4.0,9.0,9.0,,,,,,,,,,,,,
5404,2021,2,CE 444,Total Grades Given for are,,,,1.0,4,3.0,,,,,,,,,,,,,,,
5405,2021,2,CE 448,Total Grades Given for are,3.0,4.0,1.0,,20,2.0,3.0,1.0,6.0,,,,,,,,,,,,
5406,2021,2,CE 462,Total Grades Given for are,2.0,1.0,,,5,1.0,1.0,,,,,,,,,,,,,,
5407,2021,2,CE 465,Total Grades Given for are,3.0,2.0,,1.0,9,3.0,,,,,,,,,,,,,,,
5408,2021,2,CE 495,Total Grades Given for are,1.0,,,,9,7.0,,,,1.0,,,,,,,,,,,
5409,2021,2,CE 607,Total Grades Given for are,8.0,2.0,,1.0,17,,2.0,2.0,1.0,,1.0,,,,,,,,,,
5410,2021,2,CE 608,Total Grades Given for are,10.0,38.0,5.0,4.0,118,5.0,23.0,19.0,8.0,3.0,3.0,,,,,,,,,,
5411,2021,2,CE 610,Total Grades Given for are,3.0,3.0,2.0,3.0,24,4.0,4.0,4.0,1.0,,,,,,,,,,,,
5412,2021,2,CE 620,Total Grades Given for are,4.0,9.0,1.0,9.0,52,7.0,9.0,6.0,7.0,,,,,,,,,,,,
5413,2021,2,CE 632,Total Grades Given for are,,,,,5,5.0,,,,,,,,,,,,,,,
5414,2021,2,CE 645,Total Grades Given for are,3.0,3.0,,,14,,5.0,,,,3.0,,,,,,,,,,
5415,2021,2,CE 648,Total Grades Given for are,1.0,3.0,1.0,1.0,12,4.0,,,,,2.0,,,,,,,,,,
5416,2021,2,CE 651,Total Grades Given for are,6.0,6.0,,3.0,23,5.0,1.0,,1.0,,1.0,,,,,,,,,,
5417,2021,2,CE 652,Total Grades Given for are,1.0,2.0,,,11,2.0,5.0,1.0,,,,,,,,,,,,,
5418,2021,2,CE 654,Total Grades Given for are,5.0,10.0,,2.0,23,4.0,2.0,,,,,,,,,,,,,,
5419,2021,2,CE 656,Total Grades Given for are,1.0,1.0,,,3,,1.0,,,,,,,,,,,,,,
5420,2021,2,CE 658,Total Grades Given for are,8.0,13.0,3.0,3.0,62,14.0,9.0,7.0,4.0,,,,1.0,,,,,,,,
5421,2021,2,CE 676,Total Grades Given for are,4.0,2.0,,2.0,17,3.0,4.0,1.0,1.0,,,,,,,,,,,,
5422,2021,2,CE 677,Total Grades Given for are,4.0,6.0,,1.0,12,,1.0,,,,,,,,,,,,,,
